Kreis;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§24 Abs.2 EuWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;AfD;FDP;DIE LINKE;FREIE WÄHLER;PIRATEN;Tierschutzpartei;ÖDP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt
08111 Stadtkreis Stuttgart;380985;283060;97904;21;255470;88849;2172;253298;60371;34244;71920;18876;20739;12906;5623;2799;2561;2749;188;8190;588;223;191;286;122;44;417;271;527;1050;300;122;1795;29;195;79;104;104;351;231;316;180;140;326;534;518;174;2915
08115 Landkreis Böblingen;262708;209985;52723;0;173851;47805;2542;171309;53646;22184;37295;17562;13519;4509;7806;1243;1666;1774;251;3082;718;193;227;123;30;25;304;195;793;363;137;73;526;27;199;82;85;53;227;205;250;136;73;67;280;315;185;881
08116 Landkreis Esslingen;365828;289930;75894;4;242055;69212;3565;238490;71185;32659;55218;22958;17211;7093;11074;1692;2693;2422;281;4514;975;242;315;160;42;18;560;311;839;450;206;121;839;37;255;144;117;97;329;317;343;154;87;116;348;511;269;1288
08117 Landkreis Göppingen;178436;145843;32593;0;111874;29829;2128;109746;33437;15274;22399;13732;7617;2678;5092;823;1428;935;187;1842;510;161;189;49;23;7;315;160;275;322;110;57;227;30;132;80;66;53;153;152;151;74;32;51;105;292;134;392
08118 Landkreis Ludwigsburg;365970;287382;78584;4;244616;71304;3596;241020;71214;33204;54317;23909;17510;7379;11186;1623;2742;3046;314;4676;1053;267;290;133;42;28;521;321;887;1020;182;119;656;45;288;141;112;112;321;356;331;157;97;168;303;475;260;1215
08119 Landkreis Rems-Murr-Kreis;297477;242079;55397;1;193131;50008;2913;190218;57809;25739;37425;21895;15925;5405;7258;1519;2445;2654;322;3516;952;262;301;93;40;15;491;326;911;451;146;89;584;29;251;134;127;95;281;235;278;145;55;151;218;483;260;903
08121 Stadtkreis Heilbronn;77185;66174;11000;11;42835;9977;636;42199;11262;6926;8676;5495;3320;1643;1024;256;378;415;82;911;136;53;54;56;14;5;70;60;85;318;30;25;111;5;59;27;25;17;58;53;53;29;13;22;45;84;52;252
08125 Landkreis Heilbronn;242435;198628;43805;2;155172;40011;3401;151771;46334;21795;28157;19561;11632;3863;5561;885;1863;2321;487;2558;887;248;222;60;32;11;462;252;655;462;119;81;237;46;207;151;103;76;227;215;205;117;50;61;213;420;232;703
08126 Landkreis Hohenlohekreis;82480;70537;11943;0;51822;10823;857;50965;17051;6562;9913;6074;4274;1261;1405;296;576;457;180;741;362;62;84;16;11;4;132;74;266;25;39;20;93;6;65;46;37;37;76;100;53;43;19;31;79;144;78;173
08127 Landkreis Schwäbisch Hall;143275;123449;19826;0;86854;17948;1594;85260;26184;11966;18248;9753;6406;2472;1863;492;931;1723;190;1448;525;108;119;48;17;9;176;156;412;79;74;44;145;25;108;72;81;63;151;115;102;78;17;46;98;217;133;366
08128 Landkreis Main-Tauber-Kreis;101414;83234;18178;2;67155;16680;1544;65611;26034;8635;11369;7056;3486;1554;1840;358;680;1035;139;970;454;99;110;8;7;7;173;112;131;37;40;27;98;13;97;51;42;40;109;82;76;47;14;21;63;157;98;242
08135 Landkreis Heidenheim;93726;78255;15471;0;54670;14040;1144;53526;18605;8335;10740;5471;2477;1570;1676;321;572;740;101;865;300;78;82;27;61;5;123;90;160;39;44;21;95;19;69;43;33;28;72;73;56;34;13;28;57;141;58;204
08136 Landkreis Ostalbkreis;231322;189102;42220;0;145645;38043;3025;142620;54654;18996;28068;14234;7742;4063;3939;851;1545;878;241;2289;749;193;232;68;23;12;324;206;310;212;127;63;243;29;133;98;91;79;191;203;164;84;32;82;152;288;151;581
08211 Stadtkreis Baden-Baden;38487;29880;8607;0;23731;7809;328;23403;7488;2884;6027;2235;1775;611;570;108;270;112;17;346;92;40;46;2;5;1;51;33;47;19;23;14;97;6;21;16;16;15;15;27;52;24;8;16;38;47;35;154
08212 Stadtkreis Karlsruhe;209516;161489;48027;0;135402;43929;1346;134056;28275;18182;42429;10787;8352;6760;1560;1305;1694;1111;99;5445;362;110;84;128;33;18;262;178;510;171;162;72;904;15;113;67;81;56;148;156;212;98;92;172;484;263;124;2982
08215 Landkreis Karlsruhe;323238;254071;69167;0;209814;62698;4275;205539;67206;28548;42287;23146;12965;5241;6988;1219;3103;1232;265;4197;1104;291;221;66;40;27;562;337;867;291;178;113;443;29;259;184;148;134;265;303;403;195;56;111;368;636;304;1207
08216 Landkreis Rastatt;167254;137814;29440;0;103779;26871;2644;101135;33912;13855;20869;11743;5779;2455;4104;528;1448;526;137;1625;555;168;121;32;21;7;322;206;145;140;66;54;214;10;138;104;63;51;154;163;149;94;30;42;113;293;148;551
08221 Stadtkreis Heidelberg;100384;76477;23907;0;70400;22039;535;69865;13007;10378;25322;4303;4298;3789;555;401;573;613;35;2305;129;41;36;44;30;5;93;65;123;57;72;29;644;9;36;12;39;26;72;42;81;43;41;110;249;89;42;2027
08222 Stadtkreis Mannheim;199916;160798;39118;0;116585;36074;1484;115101;24961;20939;30064;12287;7261;5353;1596;752;1656;578;216;3869;421;129;112;76;68;14;335;156;172;478;105;53;542;32;131;61;77;48;149;150;151;81;54;118;237;292;123;1204
08225 Landkreis Neckar-Odenwald-Kreis;108354;90493;17861;0;68991;16308;1675;67316;25669;9902;10523;7940;3726;1602;2652;320;807;511;176;891;458;98;86;20;15;5;173;116;166;52;49;27;86;14;87;43;43;42;90;81;72;66;18;25;63;210;114;278
08226 Landkreis Rhein-Neckar-Kreis;399897;321151;78744;2;263457;71480;5367;258090;74431;40809;58990;27721;16599;7952;8592;1515;3631;1424;578;5334;1317;330;260;48;71;28;737;433;678;345;192;115;605;58;346;147;162;136;293;348;330;228;89;129;394;699;291;1705
08231 Stadtkreis Pforzheim;75907;62481;13426;0;40419;11864;793;39626;10662;5517;6984;6995;3013;1433;874;259;797;256;58;785;237;76;84;24;6;5;122;61;154;58;37;22;124;7;48;48;27;29;69;66;79;42;13;26;71;130;62;266
08235 Landkreis Calw;112394;90932;21462;0;71274;19475;1213;70061;24496;8212;12379;9387;5086;1711;2187;344;980;585;132;1001;461;131;120;28;23;6;178;156;655;90;65;39;157;21;104;58;61;52;124;140;98;57;13;36;67;197;116;308
08236 Landkreis Enzkreis;143293;114306;28987;0;94043;26091;1604;92439;27583;12789;18353;11985;7260;2035;2919;483;1983;690;185;1543;513;119;146;21;13;12;327;190;760;84;103;63;185;19;167;99;55;55;143;151;179;79;28;34;96;334;148;508
08237 Landkreis Freudenstadt;86400;71766;14634;0;53081;13181;1045;52036;18717;5904;8900;6600;4775;1205;1327;288;709;452;103;647;327;81;89;14;8;5;137;106;391;48;41;35;93;13;67;29;34;32;130;83;62;52;14;28;53;148;92;197
08311 Stadtkreis Freiburg im Breisgau;157789;114183;43591;15;106346;40651;946;105400;17119;14631;40624;5586;4570;6992;1334;628;1391;1515;86;3971;252;90;66;66;39;16;195;128;225;55;229;75;2279;16;91;43;100;42;200;104;159;104;77;316;267;184;85;1450
08315 Landkreis Breisgau-Hochschwarzwald;193103;149539;43563;1;130008;39680;2824;127184;39442;17102;34990;9638;7701;3558;3210;602;1985;1192;131;2136;676;210;151;36;24;12;338;249;378;66;172;74;608;20;129;71;102;79;187;204;192;117;53;109;131;306;144;659
08316 Landkreis Emmendingen;123701;99571;24130;0;81001;21786;1839;79162;23443;11928;20137;6466;4668;2209;2319;566;1291;1377;74;1453;382;123;98;15;12;6;239;135;165;39;101;36;260;11;111;64;80;52;118;109;111;97;29;49;103;241;105;340
08317 Landkreis Ortenaukreis;317094;263861;53231;2;192979;47528;4389;188590;64859;24592;42851;18858;10226;4346;7411;968;2594;1293;234;2785;1056;324;228;24;30;16;586;391;444;111;172;97;350;24;231;111;114;112;301;286;281;174;62;112;213;574;288;861
08325 Landkreis Rottweil;102914;84335;18579;0;63538;16705;1374;62164;23180;6914;10693;7203;4739;1260;1948;279;773;1663;106;812;432;136;95;7;7;3;173;123;182;48;32;36;125;10;87;48;34;52;100;95;88;60;15;25;66;169;96;250
08326 Landkreis Schwarzwald-Baar-Kreis;149042;121654;27388;0;87251;24454;1829;85422;31216;9878;17958;8413;6123;1963;2770;447;1011;598;249;1209;452;150;142;32;16;11;195;208;290;80;90;54;161;30;107;64;55;52;119;128;139;78;32;49;120;226;108;399
08327 Landkreis Tuttlingen;95213;77568;17643;2;57744;15711;1459;56285;21370;5827;10297;6124;4532;1247;1703;303;782;425;138;830;341;110;83;12;8;6;166;321;219;120;44;32;107;13;72;44;49;56;86;85;80;48;19;22;58;163;93;250
08335 Landkreis Konstanz;205147;161845;43301;1;129936;39136;2207;127729;37503;15082;36213;10243;8550;4362;3729;714;1574;1060;141;2865;568;226;174;20;26;13;290;217;340;89;168;97;479;45;157;92;102;71;194;166;248;119;64;107;203;283;129;1006
08336 Landkreis Lörrach;161560;131653;29907;0;97521;26670;1840;95681;26540;14931;24392;8632;6051;3045;3381;682;1274;625;138;1598;477;226;116;63;13;9;295;202;414;73;131;67;300;24;110;68;70;54;143;177;149;113;18;69;130;274;111;496
08337 Landkreis Waldshut;119122;99044;20078;0;73466;18214;1431;72035;25704;8863;16563;6486;4228;1746;2776;356;858;538;95;929;374;159;92;14;21;5;177;132;223;74;65;36;155;12;79;38;45;36;114;114;83;80;26;38;65;209;106;321
08415 Landkreis Reutlingen;200184;161545;38639;0;124190;35137;1742;122448;37282;15557;27491;13140;12041;3697;3072;706;1308;949;164;1929;619;181;180;58;33;7;292;184;617;166;110;79;294;36;126;68;71;65;141;144;254;103;51;70;209;235;130;589
08416 Landkreis Tübingen;161993;125206;36787;0;113120;33650;1230;111890;27294;15040;35359;8199;6603;5937;1836;750;1252;1289;109;2929;404;117;101;71;56;12;193;122;519;116;127;54;761;12;101;73;53;52;137;95;215;73;64;155;271;195;96;1048
08417 Landkreis Zollernalbkreis;138389;113762;24627;0;82245;22114;1733;80512;28629;9262;14378;10153;6408;2017;2519;428;1074;537;153;1190;550;129;147;104;14;9;237;156;273;109;80;42;105;16;144;70;60;64;127;115;127;86;26;49;117;339;135;334
08421 Stadtkreis Ulm;83482;65650;17832;0;53462;16456;513;52949;13361;7491;16260;3798;3259;1879;1034;610;614;646;56;1561;191;60;94;60;23;5;98;77;113;79;67;35;260;8;70;25;39;23;61;73;87;51;20;41;147;73;66;434
08425 Landkreis Alb-Donau-Kreis;140125;115220;24905;0;93883;22475;1720;92163;36102;10051;18797;9144;5426;1772;3101;517;1022;935;207;1254;627;148;157;38;9;11;198;130;383;103;72;64;164;22;138;53;59;51;151;136;122;84;36;41;129;239;127;343
08426 Landkreis Biberach;146207;121312;24894;1;94008;22752;1817;92191;37237;8218;18930;8583;5442;1761;2985;574;989;2056;167;1234;652;158;192;14;10;5;217;150;273;72;90;56;150;25;161;67;55;66;304;158;111;110;35;54;101;202;135;392
08435 Landkreis Bodenseekreis;158275;122938;35336;1;105627;32194;1538;104089;34247;11613;26805;8966;7115;2735;3444;504;1132;1397;113;1696;475;151;166;33;17;6;229;178;249;84;147;51;284;15;114;53;95;53;149;148;172;127;37;70;128;247;114;730
08436 Landkreis Ravensburg;208837;168871;39965;1;133795;36178;1981;131814;46741;12389;33803;9979;7429;3360;4907;635;1451;3570;150;2143;757;191;214;41;18;9;253;178;352;138;154;94;296;14;133;73;107;70;188;163;163;248;44;88;153;243;134;741
08437 Landkreis Sigmaringen;96823;82198;14625;0;61177;13317;1304;59873;24500;5287;12283;6120;3654;1190;2122;297;757;468;114;725;367;94;85;10;12;11;166;111;123;70;53;38;98;18;77;59;44;35;83;87;73;65;10;30;85;160;75;217
Land Baden-Württemberg;7747281;6219271;1527939;71;4957423;1387156;85142;4872281;1499962;649094;1135696;487436;331512;151619;154872;31246;60863;51372;7589;96839;23837;6786;6402;2348;1185;495;11904;7963;16701;8353;4751;2615;16979;944;5813;3200;3163;2615;7101;6634;7100;4274;1816;3511;7424;11945;5960;32362